Entity,Daily caloric supply,Obese,Population,Continent
Afghanistan,2095.0,13.2,32716214.0,Asia
Africa,2624.316674,,1170299297.0,Unknown
Africa (UN),,,1170299008.0,Unknown
Albania,3266.0,58.4,2884100.0,Europe
Algeria,3377.0,51.5,38760168.0,Africa
American Samoa,,80.3,52234.0,Oceania
Andorra,,69.7,71644.0,Europe
Angola,2419.0,18.6,27128340.0,Africa
Anguilla,,,14143.0,North America
Antigua and Barbuda,2400.0,53.2,89252.0,North America
Argentina,3245.0,66.6,42824064.0,South America
Armenia,3069.0,54.9,2889937.0,Asia
Aruba,,,103607.0,North America
Asia,2779.581186,,4412496398.0,Unknown
Asia (UN),,,4413673472.0,Unknown
Australia,3407.0,69.6,23469578.0,Oceania
Austria,3672.0,62.5,8546066.0,Europe
Azerbaijan,3093.0,55.1,9741879.0,Asia
Bahamas,2636.0,60.9,389137.0,North America
Bahrain,,64.6,1311142.0,Asia
Bangladesh,2494.0,14.1,155961312.0,Asia
Barbados,2913.0,51.3,277501.0,North America
Belarus,3335.0,60.9,9693741.0,Europe
Belgium,3789.0,66.9,11176727.0,Europe
Belize,2627.0,46.3,352343.0,North America
Benin,2739.0,16.8,10614845.0,Africa
Bermuda,,68.9,63375.0,North America
Bhutan,,21.9,736362.0,Asia
Bolivia,2310.0,49.0,10916991.0,South America
Bonaire Sint Eustatius and Saba,,,22599.0,Unknown
Bosnia and Herzegovina,3200.0,54.9,3571070.0,Europe
Botswana,2385.0,30.8,2260383.0,Africa
Brazil,3303.0,55.2,203459648.0,South America
British Virgin Islands,,,29000.0,North America
Brunei,,44.8,416670.0,Asia
Bulgaria,2865.0,63.5,7372142.0,Europe
Burkina Faso,2737.0,15.0,18169844.0,Africa
Burundi,,8.6,10494920.0,Africa
Cabo Verde,,29.1,,Africa
Cambodia,2504.0,12.4,15210817.0,Asia
Cameroon,2685.0,21.7,22299590.0,Africa
Canada,3414.0,69.0,35404616.0,North America
Cape Verde,2531.0,,546083.0,Africa
Cayman Islands,,,59580.0,North America
Central African Republic,1769.0,12.7,4798739.0,Africa
Chad,2147.0,14.6,13697128.0,Africa
Chile,3008.0,64.7,17687108.0,South America
China,3151.0,38.7,1385189632.0,Asia
Colombia,2922.0,54.2,46677944.0,South America
Comoros,,14.9,714617.0,Africa
Congo,2221.0,22.2,4944865.0,Africa
Cook Islands,,81.0,17842.0,Oceania
Costa Rica,2890.0,58.4,4844293.0,North America
Cote d'Ivoire,2625.0,22.4,22995554.0,Unknown
Croatia,2977.0,64.0,4283968.0,Europe
Cuba,3353.0,51.9,11332030.0,North America
Curacao,,,168034.0,Unknown
Cyprus,2995.0,64.2,1176997.0,Asia
Czechia,3197.0,69.2,10517178.0,Europe
Democratic Republic of Congo,,13.7,76035592.0,Unknown
Denmark,3355.0,64.7,5650654.0,Europe
Djibouti,2581.0,24.8,989091.0,Africa
Dominica,2962.0,50.9,69388.0,North America
Dominican Republic,2767.0,49.4,10282116.0,North America
East Timor,2236.0,,1184842.0,Unknown
Ecuador,2612.0,52.5,15957995.0,South America
Egypt,3388.0,55.5,95592328.0,Africa
El Salvador,2586.0,52.2,6209528.0,North America
Equatorial Guinea,,28.0,1295193.0,Africa
Eritrea,,11.9,3323429.0,Africa
Estonia,3210.0,60.7,1314531.0,Europe
Eswatini,2375.0,25.4,1125872.0,Africa
Ethiopia,2250.0,10.3,99746768.0,Africa
Europe,3381.499097,,742190861.0,Unknown
Europe (UN),,,741014144.0,Unknown
European Union (27),,,442278071.0,Unknown
Falkland Islands,,,3356.0,South America
Faroe Islands,,,48494.0,Europe
Fiji,2751.0,59.0,915576.0,Oceania
Finland,3320.0,62.0,5461436.0,Europe
France,3411.0,66.9,63588496.0,Europe
French Guiana,,,251379.0,South America
French Polynesia,2958.0,82.6,289880.0,Oceania
Gabon,2754.0,33.9,1966858.0,Africa
Gambia,2593.0,21.9,2189023.0,Africa
Georgia,2797.0,52.6,3774232.0,Asia
Germany,3541.0,64.0,81858824.0,Europe
Ghana,2982.0,21.9,28196356.0,Africa
Gibraltar,,,32478.0,Europe
Greece,3439.0,66.7,10862972.0,Europe
Greenland,,65.5,55972.0,North America
Grenada,2366.0,47.5,117986.0,North America
Guadeloupe,,,400856.0,North America
Guam,,,167555.0,Oceania
Guatemala,2447.0,48.1,15713744.0,North America
Guernsey,,,61564.0,Europe
Guinea,2648.0,16.4,11333362.0,Africa
Guinea-Bissau,2171.0,17.4,1743318.0,Africa
Guyana,2791.0,42.7,751126.0,South America
Haiti,2143.0,30.9,10412741.0,North America
High-income countries,3384.656208,,1183328941.0,Unknown
Honduras,2566.0,47.0,9127851.0,North America
Hong Kong,3250.0,53.7,7352180.0,Asia
Hungary,3110.0,67.1,9867906.0,Europe
Iceland,3458.0,64.9,327650.0,Europe
India,2460.0,16.4,1307246464.0,Asia
Indonesia,2819.0,19.7,256229760.0,Asia
Iran,3105.0,56.5,79961672.0,Asia
Iraq,2597.0,53.7,36746484.0,Asia
Ireland,3654.0,67.0,4622165.0,Europe
Isle of Man,,,83916.0,Europe
Israel,3576.0,68.4,7863849.0,Asia
Italy,3487.0,65.7,60322792.0,Europe
Jamaica,2714.0,48.3,2784542.0,North America
Japan,2720.0,28.8,127476728.0,Asia
Jersey,,,99390.0,Europe
Jordan,2866.0,62.5,8658030.0,Asia
Kazakhstan,3178.0,59.9,17592296.0,Asia
Kenya,2183.0,17.1,45831860.0,Africa
Kiribati,3095.0,69.0,115002.0,Oceania
Kosovo,,,1777812.0,Unknown
Kuwait,3466.0,72.7,3761590.0,Asia
Kyrgyzstan,2713.0,45.2,5814426.0,Asia
Laos,2674.0,14.5,6691467.0,Asia
Latin America and the Caribbean (UN),,,616734080.0,Unknown
Latvia,3208.0,63.3,2011040.0,Europe
Lebanon,2958.0,64.3,6274345.0,Asia
Lesotho,2356.0,18.9,2095251.0,Africa
Liberia,2154.0,17.4,4519410.0,Africa
Libya,,61.9,6097767.0,Africa
Liechtenstein,,,37120.0,Europe
Lithuania,3387.0,63.7,2994928.0,Europe
Low-income countries,2293.617301,,579035766.0,Unknown
Lower-middle-income countries,2601.319531,,3099123675.0,Unknown
Luxembourg,3495.0,67.3,556075.0,Europe
Macao,3315.0,,604163.0,Asia
Madagascar,1986.0,14.4,24215980.0,Africa
Malawi,2501.0,11.6,16477972.0,Africa
Malaysia,2831.0,37.5,30606454.0,Asia
Maldives,2397.0,28.0,416746.0,Asia
Mali,2833.0,17.5,17551824.0,Africa
Malta,3415.0,69.8,446449.0,Europe
Marshall Islands,,74.4,50440.0,Oceania
Martinique,,,384393.0,North America
Mauritania,2882.0,23.2,3843181.0,Africa
Mauritius,3040.0,36.5,1292112.0,Africa
Mayotte,,,239717.0,Africa
Melanesia,2656.0,,,Unknown
Mexico,3132.0,63.6,118755888.0,North America
Micronesia (country),,69.0,109039.0,Unknown
Moldova,2348.0,48.9,3338338.0,Europe
Monaco,,,36133.0,Europe
Mongolia,2513.0,50.0,2902826.0,Asia
Montenegro,3376.0,63.6,634301.0,Europe
Montserrat,,,5075.0,North America
Morocco,3396.0,49.7,34248608.0,Africa
Mozambique,2176.0,12.0,26038704.0,Africa
Myanmar,2653.0,14.6,51072436.0,Asia
Namibia,2369.0,26.7,2243008.0,Africa
Nauru,,80.2,10965.0,Oceania
Nepal,2714.0,15.5,27462110.0,Asia
Netherlands,3213.0,62.6,16954080.0,Europe
New Caledonia,2889.0,,280805.0,Oceania
New Zealand,3148.0,68.8,4514198.0,Oceania
Nicaragua,2529.0,45.9,6208680.0,North America
Niger,2556.0,11.2,19372012.0,Africa
Nigeria,2626.0,23.6,179379024.0,Africa
Niue,,78.6,1858.0,Oceania
North America,3412.963388,,565486685.0,Unknown
North Korea,2087.0,18.9,25126140.0,Asia
North Macedonia,2955.0,60.2,2105293.0,Europe
Northern America (UN),,,357563872.0,Unknown
