Entity,Daily caloric supply,Obese,Population,Continent
Afghanistan,2095,13.2,32716214,
Africa,2624.316674,,1170299297,
Africa (UN),,,1170299008,
Albania,3266,58.4,2884100,
Algeria,3377,51.5,38760168,
American Samoa,,80.3,52234,
Andorra,,69.7,71644,
Angola,2419,18.6,27128340,
Anguilla,,,14143,
Antigua and Barbuda,2400,53.2,89252,
Argentina,3245,66.6,42824064,
Armenia,3069,54.9,2889937,
Aruba,,,103607,
Asia,2779.581186,,4412496398,
Asia (UN),,,4413673472,
Australia,3407,69.6,23469578,
Austria,3672,62.5,8546066,
Azerbaijan,3093,55.1,9741879,
Bahamas,2636,60.9,389137,
Bahrain,,64.6,1311142,
Bangladesh,2494,14.1,155961312,
Barbados,2913,51.3,277501,
Belarus,3335,60.9,9693741,
Belgium,3789,66.9,11176727,
Belize,2627,46.3,352343,
Benin,2739,16.8,10614845,
Bermuda,,68.9,63375,
Bhutan,,21.9,736362,
Bolivia,2310,49,10916991,
Bonaire Sint Eustatius and Saba,,,22599,
Bosnia and Herzegovina,3200,54.9,3571070,
Botswana,2385,30.8,2260383,
Brazil,3303,55.2,203459648,
British Virgin Islands,,,29000,
Brunei,,44.8,416670,
Bulgaria,2865,63.5,7372142,
Burkina Faso,2737,15,18169844,
Burundi,,8.6,10494920,
Cabo Verde,,29.1,,
Cambodia,2504,12.4,15210817,
Cameroon,2685,21.7,22299590,
Canada,3414,69,35404616,
Cape Verde,2531,,546083,
Cayman Islands,,,59580,
Central African Republic,1769,12.7,4798739,
Chad,2147,14.6,13697128,
Chile,3008,64.7,17687108,
China,3151,38.7,1385189632,
Colombia,2922,54.2,46677944,
Comoros,,14.9,714617,
Congo,2221,22.2,4944865,
Cook Islands,,81,17842,
Costa Rica,2890,58.4,4844293,
Cote d'Ivoire,2625,22.4,22995554,
Croatia,2977,64,4283968,
Cuba,3353,51.9,11332030,
Curacao,,,168034,
Cyprus,2995,64.2,1176997,
Czechia,3197,69.2,10517178,
Democratic Republic of Congo,,13.7,76035592,
Denmark,3355,64.7,5650654,
Djibouti,2581,24.8,989091,
Dominica,2962,50.9,69388,
Dominican Republic,2767,49.4,10282116,
East Timor,2236,,1184842,
Ecuador,2612,52.5,15957995,
Egypt,3388,55.5,95592328,
El Salvador,2586,52.2,6209528,
Equatorial Guinea,,28,1295193,
Eritrea,,11.9,3323429,
Estonia,3210,60.7,1314531,
Eswatini,2375,25.4,1125872,
Ethiopia,2250,10.3,99746768,
Europe,3381.499097,,742190861,
Europe (UN),,,741014144,
European Union (27),,,442278071,
Falkland Islands,,,3356,
Faroe Islands,,,48494,
Fiji,2751,59,915576,
Finland,3320,62,5461436,
France,3411,66.9,63588496,
French Guiana,,,251379,
French Polynesia,2958,82.6,289880,
Gabon,2754,33.9,1966858,
Gambia,2593,21.9,2189023,
Georgia,2797,52.6,3774232,
Germany,3541,64,81858824,
Ghana,2982,21.9,28196356,
Gibraltar,,,32478,
Greece,3439,66.7,10862972,
Greenland,,65.5,55972,
Grenada,2366,47.5,117986,
Guadeloupe,,,400856,
Guam,,,167555,
Guatemala,2447,48.1,15713744,
Guernsey,,,61564,
Guinea,2648,16.4,11333362,
Guinea-Bissau,2171,17.4,1743318,
Guyana,2791,42.7,751126,
Haiti,2143,30.9,10412741,
High-income countries,3384.656208,,1183328941,
Honduras,2566,47,9127851,
Hong Kong,3250,53.7,7352180,
Hungary,3110,67.1,9867906,
Iceland,3458,64.9,327650,
India,2460,16.4,1307246464,
Indonesia,2819,19.7,256229760,
Iran,3105,56.5,79961672,
Iraq,2597,53.7,36746484,
Ireland,3654,67,4622165,
Isle of Man,,,83916,
Israel,3576,68.4,7863849,
Italy,3487,65.7,60322792,
Jamaica,2714,48.3,2784542,
Japan,2720,28.8,127476728,
Jersey,,,99390,
Jordan,2866,62.5,8658030,
Kazakhstan,3178,59.9,17592296,
Kenya,2183,17.1,45831860,
Kiribati,3095,69,115002,
Kosovo,,,1777812,
Kuwait,3466,72.7,3761590,
Kyrgyzstan,2713,45.2,5814426,
Laos,2674,14.5,6691467,
Latin America and the Caribbean (UN),,,616734080,
Latvia,3208,63.3,2011040,
Lebanon,2958,64.3,6274345,
Lesotho,2356,18.9,2095251,
Liberia,2154,17.4,4519410,
Libya,,61.9,6097767,
Liechtenstein,,,37120,
Lithuania,3387,63.7,2994928,
Low-income countries,2293.617301,,579035766,
Lower-middle-income countries,2601.319531,,3099123675,
Luxembourg,3495,67.3,556075,
Macao,3315,,604163,
Madagascar,1986,14.4,24215980,
Malawi,2501,11.6,16477972,
Malaysia,2831,37.5,30606454,
Maldives,2397,28,416746,
Mali,2833,17.5,17551824,
Malta,3415,69.8,446449,
Marshall Islands,,74.4,50440,
Martinique,,,384393,
Mauritania,2882,23.2,3843181,
Mauritius,3040,36.5,1292112,
Mayotte,,,239717,
Melanesia,2656,,,
Mexico,3132,63.6,118755888,
Micronesia (country),,69,109039,
Moldova,2348,48.9,3338338,
Monaco,,,36133,
Mongolia,2513,50,2902826,
Montenegro,3376,63.6,634301,
Montserrat,,,5075,
Morocco,3396,49.7,34248608,
Mozambique,2176,12,26038704,
Myanmar,2653,14.6,51072436,
Namibia,2369,26.7,2243008,
Nauru,,80.2,10965,
Nepal,2714,15.5,27462110,
Netherlands,3213,62.6,16954080,
New Caledonia,2889,,280805,
New Zealand,3148,68.8,4514198,
Nicaragua,2529,45.9,6208680,
Niger,2556,11.2,19372012,
